ID,AUTOR,LIVRO,ESTANTE,VOLUME,EXEMPLAR,CIDADE,EDITORA,ANO,ORIGEM,CÓDIGO,DATA,*ADAPTADO POR
1,"ODA, Eiichiro",ONE PIECE,1,1,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
2,"ODA, Eiichiro",ONE PIECE,1,2,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
3,"ODA, Eiichiro",ONE PIECE,1,3,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
4,"ODA, Eiichiro",ONE PIECE,1,4,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
5,"ODA, Eiichiro",ONE PIECE,1,5,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
6,"ODA, Eiichiro",ONE PIECE,1,6,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
7,"ODA, Eiichiro",ONE PIECE,1,7,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
8,"ODA, Eiichiro",ONE PIECE,1,8,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
9,"ODA, Eiichiro",ONE PIECE,1,9,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
10,"ODA, Eiichiro",ONE PIECE,1,10,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
11,"ODA, Eiichiro",ONE PIECE,1,11,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
12,"ODA, Eiichiro",ONE PIECE,1,12,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
13,"ODA, Eiichiro",ONE PIECE,1,13,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
14,"ODA, Eiichiro",ONE PIECE,1,14,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
15,"ODA, Eiichiro",ONE PIECE,1,15,1,TOKIO,SHUEISHA,1997,DOAÇÃO,OP,05/08/25,
